,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
463,生殖部位,处女膜修补术,"外科,小儿科",处女膜修补就是通过整容外科手术的方法将已经被破坏的处女膜重新还原或再造一个新的处女膜。一般说来，绝大多数处女膜破裂者都可以通过手术来修复，但若有孕足月阴道分娩或大月份引产史者则很难修复如初。处女膜修补术的最佳手术时机为月经干净后5天至下次月经来潮前10天为宜。性病或阴道炎的患者应先治疗好自身疾病，然后再进行手术，怀孕期间不能进行手术。处女膜修补手术后1-2周患者须到医院复查，以了解手术是否成功。,暂无数据,暂无数据
464,胸部,猝死型冠心病(心性猝死，心源性猝死，心脏性猝死),"内科,心血管内科",猝死型冠心病指平时没有心脏病史或仅有轻微心脏病症状的人，病情基本稳定，无明显外因、非创伤亦非自伤，由于心电衰竭或机械性衰竭使心脏失去了有效收缩而突然死亡。,暂无数据,暂无数据
465,腹部,赤痢,消化内科,赤痢：中医称大便中带血不带脓的痢疾。痢下多血或下纯血者。即血痢。《诸病源候论•痢病诸候》：“热乘于血，则流渗入肠，与痢相杂下，故为赤痢。”,暂无数据,暂无数据
466,"盆腔,生殖部位",持续性枕横位难产,"妇产科,产科,急诊科",持续性枕横位是由于分娩时胎位不能转为正常胎位而导致分娩发生困难。持续性枕横位是由于分娩时，胎头以枕横位衔接，在下降过程中，当胎头双顶径达到或接近中骨盆平面时，绝大部分可完成内旋转动作，转成枕前位自然分娩。5%～10%直至分娩结束，胎头枕部持续不能转向前方，仍然位于母体骨盆的后方或侧方。,暂无数据,暂无数据
467,口,唇疱疹(热疱疹),"五官科,口腔科",唇疱疹是由单纯疱疹病毒引起的。它通常发生于发烧、感染、感冒，或日晒风吹后、生活紧张、月经期间、睡眠不足或当免疫系统受抑制时。这种病具高度传染性。潜伏期约3―10天，出现唇疱疹后，可能维持3周之久。如果你有过敏倾向，很可能你的免疫系统虚弱，因此也可能易患唇疱疹。,暂无数据,暂无数据
468,腹部,肠道病毒71型感染,"消化内科,传染科",肠道病毒71型首先于1969～1970年在美国加州的二次中枢神经系统感染的暴发流行中分离出来，1970年以后向世界各地传播;1972年在澳大利亚引起以脑膜炎为主的流行;1973年在日本引起以手、足、口腔病和(或)无菌性脑膜炎为主的流行，在瑞典引起以无菌性脑膜炎为主的流行，伴有少数手、足、口腔病的流行;EV71在1969年首次从加利福尼亚患有中枢神经系统疾病的婴儿粪便标本中分离出来，在1974年被鉴定命名。此后许多国家相继报道了EV71的流行情况。中国大陆首次发现EV71型感染是在1987年冬季，湖北省出现的一起手足口病，1995年武汉市病毒研究所从手足口病患者中分离出EV71，之后的多次爆发流行经检验均为EV71感染所致。,暂无数据,暂无数据
469,胸部,持续性交接区折返性心动过速(持续性交接处反复性心动过速，持续性交接性反复性心动过速，持续性交接性心动过速),"内科,心血管内科","持续性交接区折返性心动过速(permanentjunctionalreciprocatingtachycardia,PJRT)又名持续性交接性反复性心动过速、持续性交接性心动过速，属无休止性交接区性心动过速。",暂无数据,暂无数据
470,,抽动秽语综合征(抽动-秽语综合征，多动秽语综合征，多种抽动综合征，慢性多发性抽动),"内科,神经内科,儿科,精神心理科",抽动秽语综合征又称Tourette综合征(Tourette’ssyndrome，TS)或、慢性多发性抽动(chronicmultipletic)等。Itard(1825)最早报道，法国神经病学家GeorgesGillesdeLaTourette1885年首先详细描述，后来以其名字命名。,暂无数据,暂无数据
471,"头,全身",创伤后应激障碍(延迟性心因性反应),"内科,神经内科,精神心理科",创伤后应激障碍(Posttraumaticstressdisorder，PTSD)又称延迟性心因性反应(delayedpsychogenicreaction)，是由应激性事件或处境而引起的延迟性反应。,暂无数据,暂无数据
472,腹部,肠风(肠风便血),"外科,肛肠外科",以便血为主证的疾病。该证由风从经脉而入，客于肠胃，或外淫风木之邪，内乘于肠胃所致。在便前时时便血，随感随发，血清而色鲜，四射如溅。,暂无数据,暂无数据
473,"皮肤,全身",成人硬肿症(成人皮硬化病，成人硬化病),"内科,内分泌科,中医科,皮肤病科",成人硬肿症(adultscleredema)是一种以突然发生弥漫性对称性皮肤发硬为特征的少见病。多发生于感染性疾病之后，经过数年多可自行缓解。,暂无数据,暂无数据
474,头,苍白球黑质红核色素变性(苍白球色素性退变综合征，哈-斯二氏病),"内科,神经内科,儿科,五官科,眼科",苍白球黑质红核色素变性也称Hallervorden-Spatz病，为儿童晚期和青少年期遗传代谢性疾病。主要累及锥体外系统，也是罕见的与铁元素代谢障碍有关的神经变性病，国内已有少数尸检的报道。本病由Hallervorden和Spatz(1922)首先报道，以后就以两人名命此病。,暂无数据,暂无数据
475,腰部,常染色体隐性遗传性脑动脉病及动脉硬化伴皮质下梗死及白质脑病(伴有中风和缺血性白质脑病的脑的常染色体隐性遗传的动脉病，青年发病的Binswanger样白质脑病伴秃头和腰痛),"内科,神经内科,儿科,中医科",CARASIL是常染色体隐性遗传性脑动脉病及动脉硬化伴皮质下梗死及白质脑病(cerebralautosomalrecessivearteriopathy/arteriosclorosiswithsubcorticalinfarctsandleukoencephalopathy，CARASIL)的简称，也称青年发病的Binswanger样白质脑病伴秃头和腰痛(福武，1998)。福武(1985)报告一个家系三兄弟青年的发病类似Binswanger病的神经系统症状及影像学特点，复习自1965年日本发表的4个病例，缺乏脑血管疾病的危险因素，均有秃头及腰痛，指出可能是常染色体隐性遗传综合征。,暂无数据,暂无数据
476,"皮肤,全身",臭汗症(臭汗，腋臭),"中医科,皮肤病科",臭汗症(bromhidrosis)，汗腺分泌具有特殊臭味或咸汗被分解后释放的臭味称为臭汗症。可分为全身性和局部性两种。中医的体气、狐气及狐臭属于本病范围。,暂无数据,暂无数据
477,"四肢,皮肤",持续性肢皮炎(匐行性皮炎，连续性肢端皮炎，顽固性肢皮炎，肢端稽留性皮炎),"中医科,皮肤病科",持续性肢皮炎(acrodermatitis;continua)又称为肢端稽留性皮炎(acrodermatitis;perstans)或称为匐行性皮炎(dermatitis;repens)是手足部位一种慢性炎症性、复发性、无菌性脓疱性皮肤病，常在外伤后发病，病因不明。,暂无数据,暂无数据
478,,唇系带异常矫正,"五官科,口腔科",唇系带异常矫正：唇系带正常附着于中切牙间的唇侧牙龈与牙槽粘膜交界处发育异常导致的附着过低可造成中切牙间明显间隙影响牙排列；牙槽嵴吸收造成的相对附着过低可影响义齿修复均需修正。一般均采用局部浸润麻醉横向切断系带后将创面纵向缝合如缝合张力大可将创面稍作潜行剥离中切牙间有间隙者应将中切牙间隙内之纤维结缔组织切除待其创面自行愈合颊系带的矫正方法与唇系带矫正术相同,暂无数据,暂无数据
479,腹部,长膜壳绦虫病(缩小膜壳绦虫病),"消化内科,传染科",长膜壳绦虫病(hymenolepiasisdiminuta)是由缩小膜壳绦虫(hymenolepisdiminuta，长膜壳绦虫)寄生人体肠道所致疾病。以引起肠胃症状为主。,暂无数据,暂无数据
480,口,唇部整形,"整形美容科,整形外科",口唇的形态因种族、年龄、性别及遗传等因素不同也呈现不同的特征。一般来说，男性口唇肥厚宽大，女性红唇小巧菲薄。侧面观上唇稍突出于下唇，较下唇略宽。口角位置相当于两眼平视时，瞳孔中点向下延伸的垂线上。在口唇呈静止位时，口裂的高度不超过3毫米。成人口唇部美学数据：上唇皮肤高20-24.5毫米，下唇至颏的皮肤高10-13毫米，人中高13-18毫米，上红唇高5-8毫米，下红唇高10-13毫米，下唇至颏唇沟高42-47.5毫米。最常见的唇部整形手术有：厚唇变薄、薄唇变厚、重唇成形、唇弓成形、唇珠成形等几种。厚唇及重唇需要在口腔内切除一条唇粘膜。而薄唇则是在上唇边缘切除一条皮肤后使红唇外翻变厚，同时可以形成起伏明显的唇弓。明显突出的唇珠需要利用局部的红唇组织进行再造。,暂无数据,暂无数据
481,耳,传导性耳聋(传音性聋),"五官科,耳鼻咽喉科", ,暂无数据,暂无数据
482,腹部,肠系膜静脉血栓形成,"内科,消化内科",肠系膜静脉血栓形成(mesentericvenousthrombosis，MVT)较肠系膜上动脉栓塞更少见，由于MVT的临床症状与体征无特异性，加上临床医师对本病常缺乏认识，故诊断十分困难，因此，MVT很难在术前确诊。,暂无数据,暂无数据
483,四肢,尺神经麻痹(腕尺神经管综合征，肘管综合征),"内科,神经内科",尺神经在肱骨内上髁后方及尺骨鹰嘴间（尺神经沟）的一段接近浅表，易因骨折或脱位而受累。尺神经沟过浅、肘外翻畸形等，使尺神经易于受压而损害。手术将尺神经前移即可。神经可能在尺侧屈腕肌腱膜下的肘管处受压，也可能在腕部的尺管内受压。尺神经麻痹的典型表现是爪形手畸形，因手部小肌肉萎缩而手掌凹陷，掌指关节过伸，指间关节屈曲，因食指、中指的蚓状肌受正中神经支配，故手指屈曲畸形以无名指、小指为著，拇指常处于外展状态，手指分开、合并动作受限制，小指动作丧失。感觉丧失区主要在手背尺侧，小鱼际、小指和无名指的尺侧一半。,暂无数据,暂无数据
484,"颈部,全身",产后甲状腺炎(产后Hashimoto样自身免疫综合征，产后不典型亚甲炎，产后寂静性甲状腺炎，产后甲亢性甲状腺炎),"内科,内分泌科",产后甲状腺炎(postpartumthyroiditis，PPT)是产后一年所发生的甲状腺功能异常综合征，可以为暂时性的也可以是永久性的。其病理基础是甲状腺自身免疫性炎症，是最常见而又最具有特征的产后自身免疫性甲状腺炎。妊娠5～20周流产后也可发生该病。产后甲状腺炎与产后甲状腺综合征是两种不同的概念。后者指原有或正在发生甲状腺疾病而在产后出现的甲状腺功能紊乱。,暂无数据,暂无数据
485,"四肢,皮肤",肠病性肢端皮炎(布兰特氏综合征，布兰特综合征，肠病性肢皮炎，肠源性肢端皮炎综合征),"中医科,皮肤病科",肠病性肢端皮炎(acrodermatitisenteropathica)是一种少见的常染色体隐性遗传性疾病，以腔口周围、四肢末端之皮炎、腹泻、秃发为其临床特征。本病常于1岁左右开始发病，严重病例不治可致死亡。,暂无数据,暂无数据
486,眼,赤脉传睛(赤脉贯睛、眼小眦赤脉外障、大眦赤脉附睛障、小眦赤脉附睛障),"五官科,眼科",赤脉传睛是因心火上炎，或阴虚火旺所致。以眦部生长赤脉，横侵白睛为主要表现的外障类疾病。,暂无数据,暂无数据
487,头,出血性脑梗死(出血性梗塞形成，脑梗死后脑出血),"内科,神经内科,急诊科",出血性脑梗死(hemorrhagicinfarction，HI)是指在脑梗死期间，由于缺血区血管重新恢复血流灌注，导致的梗死区内出现继发性出血，脑CT扫描或脑MRI检查显示在原有的低密度区内出现散在或局限性高密度影。这种现象称之为出血性脑梗死或脑梗死后脑出血。,暂无数据,暂无数据
488,,虫媒传染病,传染科, ,暂无数据,暂无数据
489,全身,产褥疾病,"妇产科,产科",产褥期抑郁症是指产妇在分娩后出现抑郁症状，是产褥期精神综合征中最常见的一种类型。易激惹、恐怖、焦虑、沮丧和对自身及婴儿健康过度担忧，常失去生活自理及照料婴儿的能力，有时还会陷入错乱或嗜睡状态。产褥期抑郁症通常需要治疗，包括心理治疗及药物治疗。1.心理治疗通过心理咨询，以解除致病的心理因素(如婚姻关系不良、想生男孩却生女孩、既往有精神障碍史等)。对产褥妇多加关心和无微不至照顾，尽量调整好家庭中的各种关系，指导其养成良好睡眠习惯。2.药物治疗应用抗抑郁症药，主要是选择5-羟色胺再吸收抑制剂、三环类抗抑郁药等。例如帕罗西汀以20mg/d为开始剂量，逐渐增至50mg/d口服;舍曲林以50mg/d为开始剂量，逐渐增至200mg/d口服;氟西汀以20mg/d为开始剂量，逐渐增至80mg/d口服;阿米替林以50mg/d为开始剂量，逐渐增至150mg/d口服等。这类药物优点为不进入乳汁中，故可用于产褥期抑郁症。,暂无数据,暂无数据
